Variable Name,,,,Fiscal income  | equal-split adults | Average | Adults | constant 2015 local currency,Net personal wealth | equal-split adults | Average | Adults | constant 2015 local currency,Pre-tax national income  | equal-split adults | Average | Adults | constant 2015 local currency,Fiscal income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency,Net personal wealth | equal-split adults | Beta coefficient | Adults | constant 2015 local currency,Pre-tax national income  | equal-split adults | Beta coefficient | Adults | constant 2015 local currency,Fiscal income  | equal-split adults | Share | Adults | share of total (ratio),Net personal wealth | equal-split adults | Share | Adults | share of total (ratio),Pre-tax national income  | equal-split adults | Share | Adults | share of total (ratio),Fiscal income  | equal-split adults | Threshold | Adults | constant 2015 local currency,Net personal wealth | equal-split adults | Threshold | Adults | constant 2015 local currency,Pre-tax national income  | equal-split adults | Threshold | Adults | constant 2015 local currency
,CN,1984,p97p100,26087.5149419,119131.171863,42558.2514157,1.58098483086,2.4410803318,1.68535768986,0.1256909221,0.2431882471,0.1366510689,16500.8007812,48802.6445312,25251.7617188
,CN,1984,p98p100,30418.6258426,151744.769699,50441.9211427,1.65323162079,2.51968502998,1.76841950417,0.0977056101,0.2065093219,0.1079765856,18399.4941406,60223.703125,28523.7304688
,CN,1984,p0p90,5038.96544468,9665.07677603,7405.19846436,,,,0.728339374065,0.591893732548,0.713324606419,5.21473693848,-6353.78125,0
,CN,1984,p0p99,5875.8906261,12499.5725387,8733.94134022,,,,0.934240758419,0.842027485371,0.925451040268,5.21473693848,-6353.78125,0
,CN,1984,p99.1p100,43019.4088641,247959.117335,73437.9844358,1.90154349804,2.67636799812,2.03277873993,0.062180873,0.1518512964,0.0707410127,22623.4160156,92647.6171875,36126.8945312
,CN,1984,p99.1p99.2,22964.8731912,95680.3335202,36746.4522159,,,,0.0036881957,0.0065105637,0.0039329953,22623.4160156,92647.6171875,36126.8945312
,CN,1984,p99.2p100,45526.223561,266993.963301,78024.431493,1.95394182205,2.69930529594,2.08616232872,0.0584926791,0.1453407407,0.0668080151,23299.6816406,98912.1015625,37400.9414062
,CN,1984,p99.2p99.3,23623.7583102,102613.090218,38112.9973303,,,,0.0037940138,0.0069823028,0.0040792571,23299.6816406,98912.1015625,37400.9414062
,CN,1984,p99.3p100,48655.1471682,290476.942872,83726.0649449,2.03165006638,2.72514438629,2.15361595154,0.0546986647,0.1383584291,0.0627287552,23948.5859375,106591.398438,38876.9726562
,CN,1984,p99.3p99.4,24297.4753671,111239.165203,39777.198689,,,,0.0039022136,0.0075692637,0.0042573777,23948.5859375,106591.398438,38876.9726562
,CN,1984,p99.4p100,52714.7587999,320349.91386,91050.8706253,2.13549160957,2.75469136238,2.23283004761,0.0507964566,0.1307891756,0.0584713779,24685.0683594,116292.492188,40778.234375
,CN,1984,p99.4p99.5,25389.8910369,122356.523176,42020.5574672,,,,0.0040776576,0.0083257435,0.0044974857,24685.0683594,116292.492188,40778.234375
,CN,1984,p99.5p100,58179.7327547,359948.582345,100856.937279,2.22638916969,2.78914070129,2.32288599014,0.0467187986,0.12246342,0.0539738946,26131.8789062,129053.578125,43418.8085938
,CN,1984,p99.5p99.6,27196.6105094,137400.532177,45192.3601751,,,,0.0043678195,0.0093494132,0.0048369658,26131.8789062,129053.578125,43418.8085938
,CN,1984,p99.6p100,65925.5153269,415585.62706,114773.075522,2.32788228989,2.83037137985,2.43240666389,0.0423509777,0.1131140143,0.0491369292,28319.953125,146830.78125,47184.984375
,CN,1984,p99.6p99.7,29530.4589898,159283.255025,49976.3559384,,,,0.0047426391,0.010838422,0.0053489995,28319.953125,146830.78125,47184.984375
,CN,1984,p99.7p100,78057.2001023,501019.74571,136371.980709,2.4825425148,2.88158917427,2.55402612686,0.0376083367,0.1022755951,0.0437879264,31442.4433594,173869.25,53394.9023438
,CN,1984,p99.7p99.8,34582.4129371,195139.191729,58975.0029329,,,,0.0055539911,0.0132782375,0.0063121305,31442.4433594,173869.25,53394.9023438
,CN,1984,p99.8p100,99794.5876524,653960.030743,175070.485684,2.56312227249,2.94893169403,2.62699890137,0.0320543423,0.0889973566,0.0374757983,38934.7734375,221761.671875,66642.7734375
,CN,1984,p99.8p99.9,47793.3423961,269872.646214,81027.5852527,,,,0.0076756878,0.0183634721,0.008672432,38934.7734375,221761.671875,66642.7734375
,CN,1984,p99.91p100,162014.068985,1114250.59899,287579.792426,2.63067626953,3.05825090408,2.70730352402,0.0234177466482,0.0682372152805,0.0277018565685,61586.46875,364342.4375,106223.695312
,CN,1984,p99.91p99.92,63892.7354823,378090.552076,110072.324413,,,,0.00102612760384,0.00257271551527,0.00117811071686,61586.46875,364342.4375,106223.695312
,CN,1984,p99.92p100,174279.229138,1206270.64507,309768.210847,2.62405824661,3.07107901573,2.71333622932,0.0223916172981,0.0656645074487,0.0265237428248,66415.9140625,392783.96875,114165.070312
,CN,1984,p99.92p99.93,69269.7996395,409715.750849,119086.161275,,,,0.00111248414032,0.00278790900484,0.00127458642237,66415.9140625,392783.96875,114165.070312
,CN,1984,p99.93p100,189280.576209,1320064.23356,337008.496749,2.61306118965,3.08443260193,2.71084356308,0.0212791357189,0.0628765970469,0.0252491571009,72436.3359375,427976.34375,124318.679688
,CN,1984,p99.93p99.94,76060.9531549,449461.130044,130442.044801,,,,0.00122155121062,0.00305835623294,0.00139612914063,72436.3359375,427976.34375,124318.679688
,CN,1984,p99.94p100,208150.517406,1465164.72937,371436.256167,2.59665155411,3.0981965065,2.70422101021,0.020057586953,0.0598182380199,0.0238530281931,80161.125,472908.90625,137354.25
,CN,1984,p99.94p99.95,84956.3275527,501277.647695,145855.315974,,,,0.00136441236828,0.00341094145551,0.00156109826639,80161.125,472908.90625,137354.25
,CN,1984,p99.95p100,232789.342508,1657942.08779,416552.437771,2.57384037971,3.11206889153,2.68745040894,0.0186931733042,0.0564072951674,0.0222919303924,90444.359375,532745.9375,154999.109375
,CN,1984,p99.95p99.96,97219.8790353,572349.495631,166760.192633,,,,0.00156136695296,0.00389454956166,0.00178484444041,90444.359375,532745.9375,154999.109375
,CN,1984,p99.96p100,266681.720441,1929340.30018,479000.495034,2.54149365425,3.12529778481,2.65884613991,0.0171318072826,0.0525127500296,0.0205070860684,104931.101562,617330.0625,180153.515625
,CN,1984,p99.96p99.97,115479.474722,677439.406893,198000.77448,,,,0.00185461901128,0.00460963323712,0.00211921427399,104931.101562,617330.0625,180153.515625
,CN,1984,p99.97p100,317082.479738,2346640.64084,572667.047103,2.49048042297,3.13590240479,2.60745215416,0.01527718734,0.0479031130672,0.0183878708631,127317.796875,748314.3125,219627.0625
,CN,1984,p99.97p99.98,146461.736329,853284.740689,250753.53811,,,,0.00235219905153,0.0058061722666,0.0026838304475,127317.796875,748314.3125,219627.0625
,CN,1984,p99.98p100,402392.827313,3093318.3657,733623.817686,2.39968085289,3.13777041435,2.52735185623,0.0129249878228,0.0420969426632,0.0157040413469,167685.984375,985833.25,290273.71875
,CN,1984,p99.98p99.99,216411.166899,1230820.88071,367574.708016,,,,0.00347559829243,0.00837511476129,0.00393417431042,167685.984375,985833.25,290273.71875
,CN,1984,p99.991p100,623069.768978,5322406.66391,1168601.12591,2.1681125164,3.09437537193,2.35849094391,0.00900593958795,0.0325946621597,0.0112568465993,287378.875,1720026.25,495486.8125
,CN,1984,p99.991p99.992,297865.24276,1792315.45681,513903.45559,,,,0.000478376372484,0.00121958018281,0.000550033990294,287378.875,1720026.25,495486.8125
,CN,1984,p99.992p100,663720.34682,5763668.20957,1250438.29046,2.13568329811,3.08264541626,2.34264302254,0.00852756388485,0.0313750840724,0.0107068130746,310776.59375,1869714.875,533772.4375
,CN,1984,p99.992p99.993,324243.345852,1959238.65598,557115.647475,,,,0.000520740053617,0.00133316300344,0.000596284284256,310776.59375,1869714.875,533772.4375
,CN,1984,p99.993p100,712217.052051,6307158.29288,1349484.36393,2.09111475945,3.06772375107,2.32115292549,0.00800682418048,0.0300419200212,0.0101105291396,340592.03125,2055973.375,581385.375
,CN,1984,p99.993p99.994,357681.001017,2170238.25677,610053.955111,,,,0.000574441452045,0.0014767376706,0.000652944436297,340592.03125,2055973.375,581385.375
,CN,1984,p99.994p100,771306.399253,6996644.57948,1472722.77612,2.02568340302,3.04838728905,2.29853987694,0.00743238301948,0.0285651814193,0.00945758447051,380763.53125,2295195.5,640721
,CN,1984,p99.994p99.995,401079.927324,2447005.95245,676961.374496,,,,0.000644140818622,0.00166506401729,0.000724555866327,380763.53125,2295195.5,640721
,CN,1984,p99.995p100,845351.680769,7906572.71671,1631875.06932,1.97767198086,3.02266931534,2.27765655518,0.00678824260831,0.0269001182169,0.00873302854598,427447.875,2615758.5,716471.125
,CN,1984,p99.995p99.996,460116.928401,2829049.13558,765227.814187,,,,0.000738955219276,0.00192502513528,0.000819027947728,427447.875,2615758.5,716471.125
,CN,1984,p99.996p100,941660.376905,9175952.90418,1848536.80266,1.87899756432,2.98714280128,2.25487184525,0.00604928703979,0.0249750930816,0.00791400019079,501150.40625,3071816,819796.875
,CN,1984,p99.996p99.997,548026.597245,3397597.66558,889715.133475,,,,0.000880139530636,0.00231189373881,0.00095226749545,501150.40625,3071816,819796.875
,CN,1984,p99.997p100,1072871.61534,11102072.0034,2168144.15442,1.77024948597,2.93513011932,2.23424434662,0.0051691471599,0.0226631984115,0.0069617331028,606056.75,3782480.25,970415
,CN,1984,p99.997p99.998,692591.72765,4354418.1492,1084924.41496,,,,0.00111231347546,0.00296296179295,0.00116120115854,606056.75,3782480.25,970415
,CN,1984,p99.998p100,1263011.52702,14475899.4453,2709754.02415,1.57999932766,2.85103940964,2.21259117126,0.00405683368444,0.0197002366185,0.00580053217709,799374.75,5077411,1224697.125
,CN,1984,p99.998p99.999,1012532.26715,6412381.27333,1462436.81101,,,,0.00162614311557,0.00436330167577,0.00156525499187,799374.75,5077411,1224697.125
,CN,1984,p99.99p99.991,276117.05299,1656499.04639,479319.848216,,,,0.000443448428996,0.00112716399599,0.000513018923812,268551.0625,1596735.625,464116.875
,CN,1984,p99.9p99.91,59831.8288711,352218.021813,102915.729318,,,,0.000960908830166,0.00239666597918,0.00110151327681,58217.5546875,340792.5,99972.4609375
,CN,1984,p99p99.1,22280.9551552,89958.189525,35578.3848146,,,,0.00357835739851,0.00612120097503,0.00380797614343,21952.5976562,87417.09375,34995.5820312
,CN,1983,p0p100,5237.89980992,12676.6026883,7859.57560731,1179.72131348,-2.31297945976,,1,1.00000011921,1,4.43994665146,-5480.63769531,0
,CN,1983,p0p50,2812.2562711,4058.73050502,4095.65039301,,,,0.26845267415,0.16008746624,0.260551631451,4.43994665146,-5480.63769531,0
,CN,1983,p50p90,6081.92552906,13684.5903655,8990.78424184,,,,0.4644553065,0.4318062365,0.4575709701,4152.25195312,8981.03027344,6153.30761719
,CN,1983,p99p100,32713.8910602,200255.473333,55906.7683798,1.83981537819,2.65576219559,1.96860980988,0.0624561235309,0.157972499728,0.0711320489645,17781.0722656,75404.140625,28399.1113281
,CN,1983,p99.9p100,120739.211227,895397.698238,215210.589603,2.6129026413,3.04598093033,2.68126893044,0.0230510756373,0.0706338882446,0.0273819603026,46208.84375,293960.375,80264.453125
,CN,1983,p99.99p100,466581.124317,4274782.05501,877266.481089,2.17307329178,3.10371732712,2.35771679878,0.00890779029578,0.0337218269706,0.0111617548391,214710.25,1377310.375,372083.0625
,CN,1983,p99.999p100,1208966.40274,19442022.8057,3135875.44469,1.18873953819,2.68331313133,2.18708896637,0.00230811303481,0.0153369344771,0.00398987904191,1017015.375,7245529,1433812.5
,CN,1983,p0p10,1638.42324924,418.035614788,1288.5750792,,,,0.031280156225,0.00329769449309,0.0163949709386,4.43994665146,-5480.63769531,0
,CN,1983,p10p20,2355.99135491,2337.70981221,3602.29388688,,,,0.0449796952307,0.0184411387891,0.0458331853151,2084.68481445,1427.46716309,2529.66064453
,CN,1983,p20p30,2867.51030412,4151.35551581,4575.68014853,,,,0.0547454245,0.0327481702,0.0582179055,2628.25317383,3314.15991211,4259.81054688
,CN,1983,p30p40,3340.6712375,5700.28173194,5193.54264725,,,,0.0637788326,0.044966951,0.066079177,3090.43774414,4915.47509766,4885.35839844
,CN,1983,p40p50,3858.68607819,7686.2697883,5818.16007912,,,,0.0736685768,0.0606335141,0.0740263909,3586.40258789,6523.76123047,5502.27197266
,CN,1983,p50p60,4468.94555528,9020.18100418,6607.14837766,,,,0.0853194222,0.0711561367,0.084064953,4152.25195312,8981.03027344,6153.30761719
,CN,1983,p60p70,5272.22481506,11380.4425765,7765.08544692,,,,0.1006553248,0.0897751749,0.0987977684,4819.04248047,9237.81445312,7120.67236328
,CN,1983,p70p80,6478.78479818,14557.3066855,9440.93115971,,,,0.1236905158,0.1148360297,0.1201201156,5850.07958984,12770.7773438,8491.62109375
,CN,1983,p80p90,8107.74694773,19780.4311958,12149.9729755,,,,0.1547900438,0.1560388952,0.1545881629,7179.65820312,16588.453125,10547.0390625
,CN,1983,p90p100,13990.0133868,51734.014137,22154.3644113,1.52250051498,2.19592642784,1.56267380714,0.2670920491,0.4081062973,0.2818773687,9188.83984375,23559.0839844,14177.2158203
,CN,1983,p0p1,627.873813823,-2344.34291636,145.729838546,,,,0.0011987129692,-0.00184934644494,0.000185416938621,4.43994665146,-5480.63769531,0
,CN,1983,p1p2,1269.16246235,100.521586623,413.675359292,,,,0.0024230371,7.92969E-05,0.0005263329,1125.66625977,22.4659690857,283.419189453
,CN,1983,p2p3,1495.10733346,256.632825256,669.245732246,,,,0.0028544024,0.0002024461,0.0008515036,1401.28039551,178.577209473,542.654052734
,CN,1983,p3p4,1580.07845716,412.744056135,920.735175518,,,,0.003016626,0.0003255952,0.001171482,1544.85974121,334.688446045,795.611755371
,CN,1983,p4p5,1679.15680613,568.855302522,1170.46870588,,,,0.0032057827,0.0004487443,0.0014892264,1617.1394043,490.799682617,1045.73266602
,CN,1983,p5p6,1796.27031047,724.966548909,1418.93605847,,,,0.0034293714,0.0005718934,0.0018053596,1740.37683105,646.910949707,1294.58508301
,CN,1983,p6p7,1890.42686788,881.077795295,1666.5846012,,,,0.0036091316,0.0006950425,0.0021204511,1846.63012695,803.022155762,1542.86999512
,CN,1983,p7p8,1964.2799185,1037.18904168,1913.60638222,,,,0.0037501291,0.0008181917,0.0024347452,1931.33886719,959.133422852,1790.09875488
,CN,1983,p8p9,2019.22590533,1193.30022604,2160.37048626,,,,0.0038550298,0.0009413408,0.0027487115,1993.89855957,1115.24462891,2037.05432129
,CN,1983,p9p10,2062.65074133,1349.41153446,2406.39803362,,,,0.00393793499097,0.00106448994484,0.00306174042635,2042.28027344,1271.35595703,2284.03369141
,CN,1983,p10p11,2109.05964297,1505.52271881,2652.27596208,,,,0.00402653682977,0.00118763896171,0.00337457912974,2084.68481445,1427.46716309,2529.66064453
,CN,1983,p11p12,2161.52947438,1661.63415129,2897.89683388,,,,0.0041267104,0.0013107882,0.0036870907,2134.71313477,1583.57836914,2775.22460938
,CN,1983,p12p13,2216.66788152,1836.83241355,3143.31027386,,,,0.0042319787,0.0014489943,0.0039993385,2188.76391602,1739.6895752,3020.67749023
,CN,1983,p13p14,2273.08288766,2033.789431,3388.60461421,,,,0.0043396838,0.0016043647,0.0043114345,2244.75976562,1935.29956055,3265.68652344
,CN,1983,p14p15,2329.71078435,2230.769524,3633.69673335,,,,0.0044477959,0.0017597534,0.0046232734,2301.43164062,2132.27954102,3511.33837891
,CN,1983,p15p16,2385.79553718,2427.749617,3856.48298344,,,,0.0045548705,0.0019151422,0.0049067321,2358.00463867,2329.25952148,3756.38427734
,CN,1983,p16p17,2440.09826203,2624.72971,3988.08507995,,,,0.0046585435,0.0020705308,0.0050741737,2413.21020508,2526.23974609,3933.51635742
,CN,1983,p17p18,2494.0392218,2821.709803,4080.0441254,,,,0.0047615254,0.0022259196,0.0051911762,2467.08740234,2723.21972656,4037.74902344
,CN,1983,p18p19,2548.1630491,3018.689896,4156.41749755,,,,0.0048648566,0.0023813082,0.0052883485,2521.14453125,2920.19970703,4119.99121094
,CN,1983,p19p20,2601.76556746,3215.66974088,4226.12377254,,,,0.0049671927,0.0025366968,0.0053770384,2575.09814453,3117.1796875,4191.90332031
,CN,1983,p20p21,2654.38377714,3412.64983388,4292.89349766,,,,0.0050676493,0.0026920855,0.0054619918,2628.25317383,3314.15991211,4259.81054688
,CN,1983,p21p22,2705.39687138,3609.6239719,4358.01220437,,,,0.0051650414,0.0028474696,0.0055448441,2680.1105957,3511.13989258,4325.69287109
,CN,1983,p22p23,2754.87482122,3782.89430915,4420.88290585,,,,0.0052595031,0.0029841547,0.0056248368,2730.46875,3707.38891602,4389.61865234
,CN,1983,p23p24,2802.33179948,3933.90517658,4483.37794731,,,,0.0053501059,0.0031032804,0.0057043512,2778.9675293,3858.39990234,4452.16601562
,CN,1983,p24p25,2848.68834692,4084.916044,4545.67300066,,,,0.0054386081,0.0032224059,0.0057836114,2825.60986328,4009.41064453,4514.5390625
,CN,1983,p25p26,2894.23328012,4235.92666331,4607.73134353,,,,0.005525561,0.0033415314,0.0058625704,2871.61328125,4160.42138672,4576.77636719
,CN,1983,p26p27,2938.77976155,4386.93753074,4669.4944186,,,,0.0056106071,0.0034606571,0.0059411535,2916.76831055,4311.43212891,4638.64599609
,CN,1983,p27p28,2982.02036533,4537.94790191,4731.25798992,,,,0.0056931605,0.0035797823,0.0060197371,2960.52978516,4462.44287109,4700.4609375
,CN,1983,p28p29,3025.63613289,4676.68605032,4792.93025154,,,,0.00577643,0.0036892267,0.0060982048,3003.81225586,4613.45361328,4762.09130859
,CN,1983,p29p30,3068.75689269,4852.06718011,4854.54742958,,,,0.0058587547,0.003827577,0.0061766026,3047.1862793,4764.46435547,4823.72363281
,CN,1983,p30p31,3115.19680986,4990.98000795,4916.09116287,,,,0.0059474162,0.0039371592,0.0062549068,3090.43774414,4915.47509766,4885.35839844
,CN,1983,p31p32,3165.59530047,5141.99087538,4977.756477,,,,0.0060436348,0.0040562847,0.0063333656,3140.17626953,5066.48583984,4946.77050781
,CN,1983,p32p33,3216.75106613,5293.00174281,5039.40541495,,,,0.0061412998,0.0041754101,0.0064118034,3191.11425781,5217.49658203,5008.59179688
,CN,1983,p33p34,3267.99814149,5444.04288139,5100.95956945,,,,0.0062391385,0.0042945598,0.0064901211,3242.47875977,5368.50732422,5070.18457031
,CN,1983,p34p35,3318.59984582,5604.11127449,5162.59659743,,,,0.0063357456,0.0044208304,0.0065685436,3293.47827148,5520.50634766,5131.86425781
,CN,1983,p35p36,3367.97953848,5771.32018574,5224.24404662,,,,0.0064300192,0.0045527341,0.0066469801,3343.48339844,5687.71582031,5193.31445312
,CN,1983,p36p37,3416.30122956,5938.52909698,5285.99322674,,,,0.0065222732,0.0046846378,0.0067255455,3392.23803711,5854.92480469,5255.23144531
,CN,1983,p37p38,3464.31375789,6105.73850448,5347.67938331,,,,0.0066139367,0.0048165419,0.0068040309,3440.30102539,6022.13378906,5316.92822266
,CN,1983,p38p39,3512.48384509,6272.94791197,5409.41764597,,,,0.0067059016,0.0049484456,0.0068825823,3488.31640625,6189.34277344,5378.48193359
,CN,1983,p39p40,3561.4918477,6440.15632697,5471.28096322,,,,0.0067994655,0.0050803488,0.0069612931,3536.8503418,6356.55175781,5440.24169922
,CN,1983,p40p41,3611.71516263,6607.36573446,5533.17455162,,,,0.0068953503,0.005212253,0.0070400424,3586.40258789,6523.76123047,5502.27197266
,CN,1983,p41p42,3662.59948042,6774.57464571,5595.10783989,,,,0.0069924966,0.0053441562,0.0071188421,3636.94873047,6690.97021484,5564.12011719
,CN,1983,p42p43,3714.88222618,6941.7840532,5657.16717525,,,,0.0070923129,0.0054760603,0.0071978024,3688.42724609,6858.17919922,5626.25048828
,CN,1983,p43p44,3768.83881777,7108.99246819,5719.53021463,,,,0.0071953246,0.0056079635,0.0072771488,3741.66772461,7025.38818359,5688.43066406
,CN,1983,p44p45,3824.29978637,7276.20187569,5782.23219167,,,,0.0073012086,0.0057398677,0.0073569268,3796.34008789,7192.59765625,5750.68603516
,CN,1983,p45p46,3881.22840959,7587.29205369,5845.72568489,,,,0.0074098948,0.0059852726,0.0074377116,3852.46508789,7359.80664062,5814.01904297
,CN,1983,p46p47,3939.86611228,8189.5132993,5910.20869741,,,,0.0075218435,0.0064603374,0.0075197555,3910.25512695,7915.59863281,5877.73876953
,CN,1983,p47p48,3999.83376067,8595.80625038,5976.49557284,,,,0.0076363315,0.0067808437,0.0076040947,3969.73730469,8425.66699219,5942.96972656
,CN,1983,p48p49,4061.15418217,8831.66020942,6045.30140511,,,,0.007753402,0.0069668982,0.0076916385,4030.2956543,8737.60253906,6010.17480469
,CN,1983,p49p50,4122.44160316,8949.50729295,6116.65646539,,,,0.0078704096,0.0070598628,0.0077824262,4092.23266602,8906.15429688,6080.81396484
,CN,1983,p50p51,4182.18097728,8995.47081167,6192.54773223,,,,0.0079844622,0.0070961211,0.0078789853,4152.25195312,8981.03027344,6153.30761719
,CN,1983,p51p52,4242.63445284,9006.58379819,6275.38895782,,,,0.0080998773,0.0071048876,0.0079843868,4212.28173828,9004.30957031,6233.46240234
,CN,1983,p52p53,4303.05964225,9007.43436794,6361.0151294,,,,0.0082152393,0.0071055586,0.0080933319,4272.7734375,9007.42578125,6317.91699219
,CN,1983,p53p54,4365.72539315,9007.43536044,6450.72443276,,,,0.0083348779,0.0071055596,0.008207472,4333.98583984,9007.43554688,6405.01708984
,CN,1983,p54p55,4429.22831509,9007.43536044,6544.52977036,,,,0.0084561156,0.0071055596,0.0083268238,4398.06298828,9007.43554688,6497.29003906
,CN,1983,p55p56,4492.6314911,9007.43536044,6641.58007621,,,,0.0085771624,0.0071055596,0.0084503042,4460.37548828,9007.43554688,6592.39941406
,CN,1983,p56p57,4560.14261132,9007.43536044,6742.15771564,,,,0.0087060519,0.0071055596,0.0085782725,4525.80859375,9007.43554688,6691.265625
,CN,1983,p57p58,4630.38359395,9007.43536044,6846.001662,,,,0.008840153,0.0071055596,0.0087103965,4594.59570312,9007.43554688,6793.67626953
,CN,1983,p58p59,4703.59462322,9030.53770815,6953.33373831,,,,0.008979925,0.0071237837,0.0088469582,4666.46630859,9007.43554688,6899.02636719
,CN,1983,p59p60,4779.87346005,9124.60556116,7064.20505817,,,,0.009125554,0.0071979896,0.0089880237,4741.19189453,9043.11523438,7008.36865234
,CN,1983,p60p61,4859.2389619,9418.03822881,7178.78236103,,,,0.0092770755,0.0074294657,0.0091338046,4819.04248047,9237.81445312,7120.67236328
,CN,1983,p61p62,4941.86977817,9903.55971718,7297.29888365,,,,0.0094348313,0.0078124716,0.0092845969,4900.12744141,9631.49121094,7237.63134766
,CN,1983,p62p63,5027.5416046,10514.6280792,7419.73576857,,,,0.0095983921,0.0082945162,0.0094403774,4984.39697266,10198.1914062,7357.93212891
,CN,1983,p63p64,5113.04569907,11089.9606018,7546.50738321,,,,0.0097616334,0.0087483693,0.0096016731,5070.74951172,10826.5429688,7482.44335938
,CN,1983,p64p65,5192.8017484,11512.96571,7677.58990765,,,,0.0099139009,0.0090820594,0.0097684534,5153.31591797,11321.3037109,7611.40087891
,CN,1983,p65p66,5278.28003796,11836.4710303,7813.52127514,,,,0.0100770928,0.0093372585,0.0099414038,5233.20898438,11688.6933594,7744.87109375
,CN,1983,p66p67,5384.06034555,12088.3498425,7954.43646524,,,,0.0102790445,0.0095359543,0.0101206945,5329.23339844,11972.2880859,7883.01513672
,CN,1983,p67p68,5503.14755381,12293.7540001,8100.45805132,,,,0.0105064018,0.0096979877,0.0103064831,5441.51318359,12196.6542969,8026.81738281
,CN,1983,p68p69,5641.07830608,12478.5142246,8252.4117907,,,,0.0107697332,0.0098437369,0.0104998183,5570.88818359,12387.4150391,8175.22802734
,CN,1983,p69p70,5781.18560381,12668.1873081,8410.11010148,,,,0.0110372212,0.0099933613,0.0107004633,5711.98486328,12570.4560547,8330.69433594
,CN,1983,p70p71,5917.34425306,12886.6616559,8574.24326518,,,,0.0112971701,0.0101657063,0.0109092956,5850.07958984,12770.7773438,8491.62109375
,CN,1983,p71p72,6041.46887877,13154.1127426,8744.92194519,,,,0.0115341442,0.0103766862,0.0111264559,5980.70556641,13010.8173828,8658.56347656
,CN,1983,p72p73,6156.8898039,13484.0246297,8923.04435111,,,,0.0117545016,0.0106369387,0.0113530867,6101.73974609,13307.9970703,8832.92382812
,CN,1983,p73p74,6262.98969546,13878.8954315,9108.63331036,,,,0.0119570633,0.0109484345,0.0115892179,6207.40185547,13671.1572266,9014.3515625
,CN,1983,p74p75,6389.79505499,14324.1086479,9302.39250316,,,,0.0121991551,0.0112996437,0.0118357446,6324.68212891,14095.4462891,9204.21386719
,CN,1983,p75p76,6522.09438048,14779.412579,9505.09706951,,,,0.0124517363,0.0116588119,0.012093652,6455.48095703,14555.046875,9402.19824219
,CN,1983,p76p77,6657.39104628,15191.9398987,9717.60353412,,,,0.0127100395,0.0119842365,0.0123640308,6589.28271484,14994.6259766,9609.42578125
,CN,1983,p77p78,6796.12820219,15568.1696258,9940.06474152,,,,0.0129749114,0.0122810267,0.0126470756,6725.98925781,15383.0654297,9826.9375
,CN,1983,p78p79,6944.4861257,15945.4156697,10173.7441401,,,,0.0132581508,0.0125786196,0.0129443938,6868.78320312,15753.4609375,10054.7929688
,CN,1983,p79p80,7099.25954845,16360.3210116,10419.5697144,,,,0.013553638,0.012905919,0.0132571664,7020.88720703,16143.7460938,10294.8427734
,CN,1983,p80p81,7263.01258588,16843.1528337,10678.6550457,,,,0.013866269,0.0132868038,0.0135868089,7179.65820312,16588.453125,10547.0390625
,CN,1983,p81p82,7432.24470183,17409.2253613,10952.5077367,,,,0.0141893607,0.0137333525,0.0139352409,7347.03564453,17112.1953125,10812.6992188
,CN,1983,p82p83,7608.99448469,18044.5106449,11242.1292167,,,,0.0145268049,0.0142345009,0.0143037355,7519.09375,17718.6445312,11094.2861328
,CN,1983,p83p84,7789.64279493,18685.8461889,11549.6086914,,,,0.0148716914,0.0147404214,0.0146949524,7699.19238281,18372.1992188,11392.6347656
,CN,1983,p84p85,7976.33292936,19286.0864109,11875.8007005,,,,0.0152281132,0.0152139235,0.0151099777,7880.5,18989.2753906,11710.2304688
,CN,1983,p85p86,8171.27269709,19909.6780974,12226.5242527,,,,0.0156002855,0.0157058463,0.0155562144,8073.00537109,19586.9472656,12047.9628906
,CN,1983,p86p87,8373.95642101,20631.3264814,12602.4284409,,,,0.0159872416,0.0162751228,0.0160344895,8270.47949219,20249.4667969,12408.8730469
,CN,1983,p87p88,8589.15552941,21477.8111113,13005.7831053,,,,0.0163980909,0.0169428773,0.0165476911,8480.2734375,21035.8574219,12797.5351562
,CN,1983,p88p89,8813.46476582,22359.4082926,13444.1083939,,,,0.0168263335,0.0176383294,0.0171053875,8699.32910156,21928.890625,13218.375
,CN,1983,p89p90,9059.39355975,23157.262565,13922.1871489,,,,0.0172958523,0.0182677191,0.0177136622,8932.85644531,22766.5957031,13675.6005859
,CN,1983,p90p91,9327.50862686,24023.9762644,14450.4931888,,,,0.0178077277,0.0189514309,0.0183858443,9188.83984375,23559.0839844,14177.2158203
,CN,1983,p91p92,9665.46569289,25184.0561342,15039.086461,,,,0.0184529424,0.0198665652,0.019134732,9474.65429688,24539.796875,14733.2275391
,CN,1983,p92p93,10108.0636802,26726.6522058,15705.3118394,,,,0.0192979332,0.0210834499,0.019982392,9871.22167969,25896.6171875,15357.4423828
,CN,1983,p93p94,10638.3080663,28647.4193283,16476.8599844,,,,0.0203102566,0.0225986578,0.0209640581,10360.9121094,27615.9238281,16069.9130859
,CN,1983,p94p95,11315.2772225,31094.0370536,17399.0602093,,,,0.0216026995,0.0245286841,0.0221374054,10941.4228516,29764.6152344,16907.7773438
